season,batting_team,batter,matches,total_balls,total_runs,dot_balls,ones,twos,threes,fours,sixes,thirty_plus,fifty_plus,hundred_plus,dismissals,Not_outs,batting_average,strike_rate,runs_fours(4s)%,runs_sixes(6s)%,boundary_runs(%),dot_balls(%),Hussey_Index,DPPI,BPI
2023,Delhi Capitals,PD Salt,9,133,218,46,48,7,0,24,10,2,2,0,8,1,27.25,163.91,44.04,27.52,71.56,34.59,191.16,44.67,69.33
2023,Delhi Capitals,PP Shaw,8,85,106,41,28,4,0,16,1,1,1,0,8,0,13.25,124.71,60.38,5.66,66.04,48.24,137.95999999999998,16.52,53.42
2023,Delhi Capitals,RR Rossouw,9,141,209,58,49,13,0,17,11,4,1,0,7,2,29.86,148.23,32.54,31.58,64.11,41.13,178.08999999999997,44.26,63.61
2023,Gujarat Titans,B Sai Sudharsan,8,256,362,84,114,19,2,33,12,5,3,0,7,1,51.71,141.41,36.46,19.89,56.35,32.81,193.12,73.12,64.58
2023,Gujarat Titans,DA Miller,13,178,259,57,83,13,0,18,13,5,0,0,8,5,32.38,145.51,27.8,30.12,57.92,32.02,177.89,47.12,62.21
2023,Gujarat Titans,HH Pandya,15,253,346,80,114,19,0,26,15,3,2,0,11,4,31.45,136.76,30.06,26.01,56.07,31.62,168.20999999999998,43.01,59.23
2023,Gujarat Titans,R Tewatia,10,57,87,21,27,3,0,3,7,0,0,0,4,6,21.75,152.63,13.79,48.28,62.07,36.84,174.38,33.2,63.15
2023,Gujarat Titans,Rashid Khan,9,60,130,30,10,5,0,8,13,2,1,0,4,5,32.5,216.67,24.62,60.0,84.62,50.0,249.17,70.42,89.08
2023,Gujarat Titans,Shubman Gill,17,564,890,168,244,48,4,85,33,13,4,3,15,2,59.33,157.8,38.2,22.25,60.45,29.79,217.13,93.62,72.25
2023,Gujarat Titans,V Shankar,10,188,301,69,73,15,0,27,15,3,3,0,8,2,37.62,160.11,35.88,29.9,65.78,36.7,197.73000000000002,60.23,69.36
2023,Gujarat Titans,WP Saha,17,287,371,127,96,18,1,47,8,5,2,0,16,1,23.19,129.27,50.67,12.94,63.61,44.25,152.46,29.98,56.54
2023,Kolkata Knight Riders,AD Russell,14,156,227,73,49,9,0,13,18,4,0,0,11,3,20.64,145.51,22.91,47.58,70.48,46.79,166.14999999999998,30.03,62.18
2023,Kolkata Knight Riders,JJ Roy,8,188,285,84,59,5,0,36,12,5,2,0,8,0,35.62,151.6,50.53,25.26,75.79,44.68,187.22,54.0,68.06
2023,Kolkata Knight Riders,N Rana,14,293,413,121,110,12,1,39,20,6,3,0,13,1,31.77,140.96,37.77,29.06,66.83,41.3,172.73000000000002,44.78,62.56
2023,Kolkata Knight Riders,RK Singh,14,317,474,117,136,20,0,31,29,7,4,0,8,6,59.25,149.53,26.16,36.71,62.87,36.91,208.78,88.6,70.48
2023,Kolkata Knight Riders,Rahmanullah Gurbaz,11,170,227,89,46,10,1,17,15,2,2,0,11,0,20.64,133.53,29.96,39.65,69.6,52.35,154.17000000000002,27.56,58.41
2023,Kolkata Knight Riders,SN Thakur,9,70,113,23,27,5,0,13,4,1,1,0,8,1,14.12,161.43,46.02,21.24,67.26,32.86,175.55,22.79,64.96
2023,Kolkata Knight Riders,VR Iyer,14,277,404,101,119,14,1,32,21,5,2,1,14,0,28.86,145.85,31.68,31.19,62.87,36.46,174.70999999999998,42.09,62.45
2023,Lucknow Super Giants,A Badoni,12,172,238,70,71,17,3,13,12,3,1,0,10,2,23.8,138.37,21.85,30.25,52.1,40.7,162.17000000000002,32.93,57.04
2023,Lucknow Super Giants,DJ Hooda,12,90,84,37,43,7,1,3,2,0,0,0,11,1,7.64,93.33,14.29,14.29,28.57,41.11,100.97,7.13,35.34
2023,Lucknow Super Giants,K Gowtham,7,37,61,18,15,4,0,2,5,0,0,0,4,3,15.25,164.86,13.11,49.18,62.3,48.65,180.11,25.14,65.27
2023,Lucknow Super Giants,KH Pandya,14,165,188,79,53,18,1,15,6,2,0,0,11,3,17.09,113.94,31.91,19.15,51.06,47.88,131.03,19.47,48.11
2023,Lucknow Super Giants,KL Rahul,9,242,274,97,98,20,0,28,4,4,2,0,8,1,34.25,113.22,40.88,8.76,49.64,40.08,147.47,38.78,51.14
2023,Lucknow Super Giants,KR Mayers,13,263,379,141,58,16,0,38,22,5,4,0,13,0,29.15,144.11,40.11,34.83,74.93,53.61,173.26000000000002,42.01,64.65
